record_index,database_group,country,platform_name,display_type,match_relation,display_suitability,source_grade,source_name,source_url,direct_image_url,identity_url,source_filename,local_path,image_type,is_primary,sort_order,caption,notes
11,国外数据库｜第一批,新加坡（以色列技术）,Protector USV,实艇航行照,精确匹配,优,A,Army Recognition（Rafael图片）（来源等级：A）,https://www.armyrecognition.com/archives/archives-naval-defense/naval-defense-2020/euronaval-online-2020-rafael-presents-its-combat-proven-protector-usv-unmanned-surface-vessel,https://www.armyrecognition.com/images/stories/west_europe/france/exhibition/euronaval_2020/pictures/Rafael_presents_its_combat_proven_Protector_USV_Unmanned_Surface_Vessel_925_001.jpg,https://www.navy.gov.sg/our-forces/unmanned-naval-assets/,Protector USV.jpg,img/platforms/platform-011.webp,manufacturer,1,0,实艇航行照｜精确匹配。专业防务媒体页面明确注明图片来源Rafael；全艇航行视角清楚，并用新加坡海军官方页面交叉核验。,专业防务媒体页面明确注明图片来源Rafael；全艇航行视角清楚，并用新加坡海军官方页面交叉核验。
12,国外数据库｜第二批,美国,GARC（Global Autonomous Reconnaissance Craft）,实艇演练照,精确匹配,优,S,DVIDS / U.S. Navy（来源等级：S）,https://www.dvidshub.net/image/9335644,https://d34w7g4gy10iej.cloudfront.net/photos/2509/9335644.jpg,https://www.blacksea.tech/garc,GARC（Global Autonomous Reconnaissance Craft）.jpg,img/platforms/platform-012.jpg,exercise,1,0,实艇演练照｜精确匹配。美国海军官方来源的GARC实艇演练图；比此前厂商正面小图更能看清船体比例。,美国海军官方来源的GARC实艇演练图；比此前厂商正面小图更能看清船体比例。
13,国外数据库｜第二批,美国,USV Ranger / Overlord,实艇航行照,精确匹配,优,S,DVIDS / U.S. Navy（来源等级：S）,https://www.dvidshub.net/image/8030878/unmanned-surface-vessel-ranger-transits-with-uss-shoup,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2309/8030878/1000w_q95.jpg,https://www.dvidshub.net/image/8030878/unmanned-surface-vessel-ranger-transits-with-uss-shoup,USV Ranger - Overlord.jpg,img/platforms/platform-013.webp,exercise,1,0,实艇航行照｜精确匹配。完整侧视/三分之四实艇航行图，军方官方影像。,完整侧视/三分之四实艇航行图，军方官方影像。
14,国外数据库｜第二批,土耳其,MARLIN ASW 100,官方产品封面图,精确匹配,良,S,ASELSAN（来源等级：S）,https://wwwcdn.aselsan.com/api/file/SST_MARLIN_ASW_100_ENG.pdf,https://wwwcdn.aselsan.com/api/file/SST_MARLIN_ASW_100_COVER.jpg,https://wwwcdn.aselsan.com/api/file/SST_MARLIN_ASW_100_ENG.pdf,MARLIN ASW 100.jpg,img/platforms/platform-014.jpg,manufacturer,1,0,官方产品封面图｜精确匹配。官方规格资料封面，能够看清完整艇型，但版式中带有产品标题，不是纯净独立照片。,官方规格资料封面，能够看清完整艇型，但版式中带有产品标题，不是纯净独立照片。
15,国外数据库｜第二批,以色列,Seagull USV,实艇航行照,精确匹配,优,A,Army Recognition（Elbit Systems图片）（来源等级：A）,https://www.armyrecognition.com/archives/archives-naval-defense/naval-defense-2020/elbit-systems-and-israeli-navy-trial-seagull-usv-with-onboard-mini-usv,https://www.armyrecognition.com/images/stories/news/2020/July/Elbit_Systems_and_Israeli_Navy_trial_Seagull_USV_with_onboard_mini_USV_925_001.jpg,https://www.elbitsystems.com/unmanned/maritime/unmanned-surface-vessel/seagull-usv,Seagull USV.jpg,img/platforms/platform-015.webp,manufacturer,1,0,实艇航行照｜精确匹配。页面明确标注Picture source: Elbit Systems；全艇三分之四航行图比厂商现行首页双艇正面图更适合展示。,页面明确标注Picture source: Elbit Systems；全艇三分之四航行图比厂商现行首页双艇正面图更适合展示。
16,国外数据库｜第二批,土耳其,ALBATROS-S / Kamikaze配置,实艇侧视照,基础艇型匹配（任务载荷可能不同）,优,A,Platin Online（土耳其行业媒体）（来源等级：A）,https://www.platinonline.com/teknoloji/albatros-s-insansiz-deniz-araci-surusune-katildi-1079540,https://imgs.platinonline.com/resize/1200x675/Documents/Platin/images/2021/08/09/albatros-s-insansiz-deniz-719.jpg,https://www.ssb.gov.tr/haber/baskan-demir-ida-ailemizi-genisletmeye-devam-ediyoruz-8-li-suru-albatros-s-BlXOZD,ALBATROS-S - Kamikaze配置.jpg,img/platforms/platform-016.jpg,other,1,0,实艇侧视照｜基础艇型匹配（任务载荷可能不同）。照片清楚展示ALBATROS-S基础艇型；“Kamikaze”任务改型的具体载荷/外观可能存在差异，因此不把此图描述为唯一的自杀式配置。,照片清楚展示ALBATROS-S基础艇型；“Kamikaze”任务改型的具体载荷/外观可能存在差异，因此不把此图描述为唯一的自杀式配置。
17,中国数据库｜第一批,中国,无人破障艇（公开演练型）,实艇演练视频帧,公开演练型精确匹配,优,B,武汉凌格动力转载（底图为CCTV-7国防军事画面）（来源等级：B）,https://www.lingerpower.com/hyzx/info_itemid_75.html,https://www.lingerpower.com/uploadfiles/2020/11/20201106154006706.jpg,https://www.81.cn/jfjbmap/content/2021-12/02/content_304378.htm,无人破障艇（公开演练型）.jpg,img/platforms/platform-017.jpg,exercise,1,0,实艇演练视频帧｜公开演练型精确匹配。二级来源，但图上保留CCTV-7“国防军事”水印，且文章内容与公开演练型无人破障艇对应；完整侧视比此前无图状态更适合展示。,二级来源，但图上保留CCTV-7“国防军事”水印，且文章内容与公开演练型无人破障艇对应；完整侧视比此前无图状态更适合展示。
18,中国数据库｜第二批,中国,“瞭望者Ⅱ”察打一体导弹无人艇,展会实物/样艇照,精确匹配,优,S/A,央广网军事（来源等级：S/A）,https://wcm1.cnr.cn/pub/en_US/js2014/jstp/jstph/20181110/t20181110_524411379.html,https://wcm1.cnr.cn/pub/en_US/js2014/jstp/jstph/20181110/W020181110506526948680.jpg,https://www.mod.gov.cn/gfbw/qwfb/4829146.html?big=fan,“瞭望者Ⅱ”察打一体导弹无人艇.jpg,img/platforms/platform-018.jpg,official,1,0,展会实物/样艇照｜精确匹配。央级媒体军事频道现场照片，可清楚看见艇体、遥控武器站和导弹发射装置。,央级媒体军事频道现场照片，可清楚看见艇体、遥控武器站和导弹发射装置。
19,中国数据库｜第二批,中国,JARI-USV 多用途无人作战艇,展会比例模型,精确匹配,优,A,Defense News（来源等级：A）,https://www.defensenews.com/digital-show-dailies/idex/2019/02/18/china-is-working-on-killer-robot-ships-of-its-own/,https://www.defensenews.com/resizer/v2/3HEA753DLFGM5EUNBY5K5XEW7I.jpg?auth=fcbb95510fd54aa1cd38b7d324df940cd5f1de055f7a3b136f90d5203b7ba940&height=773&width=1199,https://www.csic.com.cn/n5/n21/c21920/content.html,JARI-USV 多用途无人作战艇.jpg,img/platforms/platform-019.jpg,other,1,0,展会比例模型｜精确匹配。IDEX现场比例模型，不是实艇；但型号精确、上层武器/传感器和艇体轮廓十分清楚，适合外形展示。,IDEX现场比例模型，不是实艇；但型号精确、上层武器/传感器和艇体轮廓十分清楚，适合外形展示。
20,中国数据库｜第二批,中国,JARI-USV-A “虎鲸/Orca”,实艇展出照,精确匹配,优,A,Janes（来源等级：A）,https://www.janes.com/defence-intelligence-insights/defence-news/security/airshow-china-2024-china-debuts-500-tonne-unmanned-surface-vessel,https://www.janes.com/images/default-source/news-images/bsp_81046-jdw-28613.jpeg?sfvrsn=ff1648e0_2,https://eng.mod.gov.cn/xb/News_213114/TopStories/16351088.html,JARI-USV-A “虎鲸-Orca”.jpg,img/platforms/platform-020.jpg,other,1,0,实艇展出照｜精确匹配。Janes现场图可完整看清500吨级“虎鲸”实艇侧面；型号身份再由中国国防部英文官网交叉核验。,Janes现场图可完整看清500吨级“虎鲸”实艇侧面；型号身份再由中国国防部英文官网交叉核验。
21,中国数据库｜第二批,中国,L80 USV（云洲智能）,展会比例模型,精确匹配,优,A,Janes（来源等级：A）,https://www.janes.com/defence-intelligence-insights/defence-news/imdex-2019-yunzhou-tech-unveils-l80-usv-development,https://www.janes.com/images/default-source/news-images/fg_1984178-idr-2668.tmb-1170x650.jpg?Culture=en&sfvrsn=3e8f6fda_1,https://www.yunzhou-tech.com/,L80 USV（云洲智能）.jpg,img/platforms/platform-021.jpg,other,1,0,展会比例模型｜精确匹配。Janes明确写明为IMDEX 2019展出的L80模型。不是实艇，但比用其他云洲艇型代替更准确，外形清晰。,Janes明确写明为IMDEX 2019展出的L80模型。不是实艇，但比用其他云洲艇型代替更准确，外形清晰。
22,中国数据库｜第二批,中国,UUV300CB / UUV300CD（保利科技）,展会模型/剖面模型,精确匹配,优,A,Naval News（来源等级：A）,https://www.navalnews.com/naval-news/2024/05/dsa-2024-new-torpedo-launching-uuv-from-china/,https://www.navalnews.com/wp-content/uploads/2024/05/IMG_20240507_152312-ink-1024x648.jpeg,https://www.dsaexhibition.com/data/editor/2024/visitor-profile/DSA-2024-Participating-Companies-06052024-935.pdf,UUV300CB - UUV300CD（保利科技）.jpg,img/platforms/platform-022.jpg,other,1,0,展会模型/剖面模型｜精确匹配。DSA 2024现场模型，图中同时展示UUV300CB/UUV300CD，其中一具为剖面模型；不是海试实艇，但型号和结构展示价值很高。,DSA 2024现场模型，图中同时展示UUV300CB/UUV300CD，其中一具为剖面模型；不是海试实艇，但型号和结构展示价值很高。
